865,Carrom board
866,Chhed
867,Chut
868,Chut marike
869,Chodu
870,Chodra
871,Choochii
872,Gaandu
873,Gaand
874,Ing ge pan di kut teh
875,LavDa
876,Lavde
877,Lund 
878,Lavde ke bal
879,Lavander
880,Mangachinamun
881,Muth mar
882,Nimbu sharbat
883,Maa ke bable
884,Mammey mumm-aye
885,Tatte Masalna
886,Toto
887,Toota hua lund
888,Hindi Profane Words
889,Backar chodu
890,Bhand khau
891,Bhandwe ki aulad
892,Bhosad Chod
893,Bumchod
894,Bur ki chatani
895,Cuntmama
896,Chipkali ke chut ke pasine
897,Chipkali ke gaand ke pasine
898,Chipkali ke jhaat ke baal
899,Chippkali ke jhaant ke paseene
900,Chodela
901,Chodu bhagat
902,Chhola Phudakna
903,Chudan chudai
904,Chudai khana
905,Chunni
906,Choot ka baal
907,Choot ke bhoot
908,Chut ke dhakkan
909,Chut mari ke
910,Choot marani ka
911,Chut ke pasine mein talay huye bhajiye
912,Chup Ke Chut Hai
913,Fatey condom kay natije
914,Fatay huay lundtopi ka result
915,Gaandu
916,Gaandfat
917,Gaandmasti
918,Gaand ka makhan
919,Gaand marau
920,Ghondoo
921,Jhant chaatu
922,Jhaat ka bhaaji
923,Kutte ka beej
924,Lund choosu
925,Lund fakeer
926,Lundoos
927,Lund ka shorba
928,Land ka bheja
929,Lund pe chad ja
930,Lund pe thand hai
931,Lund Ke Pasine
932,Lavde ke baal
933,Maa ke bhadwe
934,Muth maar
935,Parichod
936,Phatele Nirodh ke Natije
937,Pucchi
938,Raandi baajer
939,Rundi ko choud
940,Rubber bhosda
941,Sadi hui gand
942,Tera adha Nirodh mein rah gaya
943,Hindi Obscene Words
944,Apna land choos
945,Apni gaand mein muthi daal
946,Apni ma ko ja choos
947,Chinaal ke gadde ke nipple ke baal ke joon
948,Chullu bhar muth mein doob mar
949,Gand Ka Khatmal
950,Gandkate Kutte
951,Gaand mein bambu
952,Gaand main lassan
953,Gaand main danda
954,Gaand main keera
955,Hazaar lund teri gaand main
956,Jaa Apni Bajaa
957,Jab tu paida hua tow aagey se ya peechey se nikla tha chutiya?
958,Kahe ko kha raha hai chut ki chapati aur lund ka beja?
959,Kali Choot Ke Safaid Jhaat
960,"Kutte ke poot, teri maa ki choot"
961,"Lo, mera lund anpi behen ko de do, agar khud na chod paya"
962,Lund Chus
963,Ma chudi
964,Mein teri maa ko teri bahen ki choot mein chodoonga aur tera baap laltern lekar aayega.
965,Mein teri maa ko liya tha uski suhaag raat pei.
966,Mera chunni choos
967,Meri lund choos
968,Mere Chuus Maro
969,"Na choot, na chooche, nakhre noor jahan ke!"
970,Raand ka pati
971,Rundi ko chod
972,Rundi ki tatti pe baithnewaali makkhi
973,Rundi ke tatti pe biathne wala makhi
974,Terey baad di gaand wich danda ghussa ker rakh dhungi.
975,Teri behen ka launda rubber ka 
976,Theri Biwi ko Tere Saamne Chodhunga
977,Teri Gand Mein Haathi Ka Lund
978,Teri gaand main kute ka lund
979,Tere gaand mein keede paday
980,Teri Jhanten Kaat kar tere mooh par laga kar unki french beard bana doonga.
981,Teri ma gandi rundi
982,Teri ma gadha ka lund choosay
983,Teri maa ki bimaar badboodar choot
984,Teri ma ki choot me hathi ka dum
985,Teri ma ki chut mai sabka lund
986,Teri maa ki phudi guy ki hai
987,Teri maa ka bhosda
988,Teri maa ki chute
989,Tere mai ki chut tere baap ka land
990,Teri mi di kussi mey tera sarra khandan ko ghussa ker rakh doonga.
991,"Teri maa ki gaand ki baal mein jalaay hue, maarey hue chipkili ki unday."
992,Teri ma ki budh mein chaarpai bichhake teri bahen ko chodun.
993,Teri maa ki chut mein chatri leke ghus jaunga aur khol dunga.
994,Tere maa ko sau kutte chode - sau wa tera baap!
995,Tor mai ke chodho
996,aand
997,aandal
998,aandu
999,aandupana
1000,abla naari tera buble bhaari
1001,apni gaand mein muthi daal
1002,apni lund choos
1003,apni ma ko ja choos
1004,backarchodu
1005,badboodar choot
1006,badir
1007,badirchand
1008,bahen chod
1009,bahen ka loda
1010,bahen ke laude
1011,bahen ke takke
1012,bahen ki choot
1013,bahenchod
1014,bahinchod
1015,bahnchod
1016,bakland
1017,bakri chod
1018,bakwaas
1019,ban chod
1020,banchod
1021,banchood
1022,bandaa
1023,bandhar
1024,ben chod
1025,benchod
1026,beti chod
1027,bhadhava
1028,bhadkhau
1029,bhadwa
1030,bhadwe ka awlat
1031,bhai chod
1032,bhains ki aulad
1033,bhan chhod
1034,bhanchod
1035,bhandava
1036,bhen chod
1037,bhen ke laude
1038,bhen ke takke
1039,bhenchod
1040,bhenchodd
1041,bhonsri-waalaa
1042,bhosad chod
1043,bhosadike
1044,bhosdaa very
1045,bhosdi ka
1046,bhosdi wala
1047,bhosdika
1048,bol teri gand kaise maru
1049,booblay
1050,buddha khoosat
1051,buhtah-nee ka
1052,bumchod
1053,bund
1054,bund maraa le
1055,bur
1056,bur ki chatani
1057,carrom board
1058,char soh bis
1059,chhaati
1060,chhed
1061,chhola phudakna
1062,chinaal
1063,chinaal ke gadde ke nipple ke baal ke joon
1064,chipkali ke chut ke pasine
1065,chipkali ke gaand ke pasine
1066,chipkali ke jhaat ke baal
1067,chipkali ke jhaat ke paseene
1068,chipkali ki bhigi chut
1069,chodela
1070,chodnaa to fuck 
1071,chodra
1072,chodu
1073,chodu bhagat
1074,choochi
1075,choochii
1076,choot
1077,choot ka baal
1078,chootad
1079,chootadchod
1080,chootia
1081,chootiya
1082,chootiyapa
1083,chootiyapanti
1084,chudaai
1085,chudaai khaani
1086,chudai
1087,chudai khana
1088,chudan
1089,chudi
1090,chudwana
1091,chull uthna
1092,chunni
1093,chusnawal
1094,chusnawala
1095,chut
1096,chut ka bhoot
1097,chut ka pujari
1098,chut ke dhakkan
1099,chut ke gulam
1100,chut ke pasine
1101,chut marike
1102,chutan
1103,chutia
1104,chutiya
1105,chutiyapa
1106,cuntmama
1107,dhee chod
1108,dhee ka lund
1109,dheela lund
1110,fate condom ka natije
1111,fuddi pussy 
1112,gaand
1113,gaand asshole (definition) 
1114,gaand ka makhan
1115,gaand maarna to fuck in the ass 
1116,gaand main danda
1117,gaand main keera
1118,gaand main lassan
1119,gaand marau
1120,gaand marna
1121,gaand mein bambu
1122,gaandfat
1123,gaandkate kutte
1124,gaandmasti
1125,gaandu
1126,gaandu asshole (person) 
1127,gashti
1128,gastee
1129,gasti
1130,ghassad
1131,ghasti
1132,ghelchodia
1133,goti
1134,gotiyan
1135,gpl (gaand pe laat)
1136,gundmaraa ass fucked (man) 
1137,gundmari ass fucked (lady) 
1138,haraam ka chuda son of unknown father 
1139,haraam ki chudi fucked by someone other then husband. 
1140,haraam zaada
1141,haraami
1142,haraamjaada son of unknown father 
1143,haraamjaadi daughter
1144,haraamkhor
1145,hijda
1146,hijdaa
1147,hijde
1148,hijra
1149,hug
1150,ing ge pan di kut teh
1151,januwar
1152,jhaant
1153,jhaant ka baal
1154,jhaant ke pissu
1155,jhaant ukhaadna
1156,jhaat chaatu
1157,jhaat ka bhaaji
1158,jhalla
1159,jhant ke baal
1160,jhat ke baal
1161,kaamchor
1162,kadak maal
1163,kali choot ke safaid jhaat
1164,kali chut ka safaid jhaat
1165,kamina
1166,katla
1167,khade lund pe dhoka
1168,khasmanu khaani
1169,khota
1170,khotey ki aulad
1171,khotey ki aulda
1172,klpd
1173,kutchudi
1174,kuthi for girl
1175,kutiya
1176,kutiya ke pilley
1177,kutte ka aulad
1178,kutte ka awlat
1179,kutte ka beej
1180,kutte ka lund
1181,kutte ke pilley
1182,kutte ke poot
1183,kutte ke tatte
1184,kutte ki jat
1185,kuttiya
1186,kya kadak hai ye
1187,kya maal hai ye
1188,ladkichod
1189,landait
1190,lavander
1191,lavda
1192,lavde
1193,lavde ke baal
1194,lavde ke bal
1195,loda
1196,lodu
1197,londiyachod
1198,lund
1199,lund choos
1200,lund choosu
1201,lund chus
1202,lund fakeer
1203,lund fakir
1204,lund ka bheja
1205,lund ka shorba
1206,lund ke pasine
1207,lund pe chad ja
1208,lund pe thand hai
1209,lund 
1210,lundoos
1211,lundtopi
1212,ma chudi
1213,maa chudaa
1214,maa ka bhosda
1215,maa ke bable
1216,maa ke bhadve
1217,maa ke bhadwe
1218,maa ke laude
1219,maa ki choot
1220,maa ki chut
1221,maa ki phudi
1222,maachod
1223,maa-chod
1224,maa-chut
1225,maadarchod
1226,maadher chod
1227,maakichut
1228,maal semen
1229,mader chod
1230,maha gaandu
1231,mammey
1232,mangachinamun
1233,mast maal
1234,momme
1235,moot
1236,mutar
1237,muth maar
1238,muth mar
1239,muth marna
1240,mutthal
1241,na chhot
1242,najayaz
1243,najayaz paidaish
1244,netrachodan mat kar
1245,nimbu sharbat
1246,paad
1247,paadu kaun
1248,paagal choda
1249,padma
1250,pancho
1251,parichod
1252,phatele nirodh ke natije
1253,pisaab
1254,pucchi
1255,raand
1256,raand ka jamai
1257,raand ka pati
1258,raandi baajer
1259,raapchik
1260,rakhail
1261,rand chod
1262,randhwa
1263,randwa
1264,rubber bhosda
1265,rundee
1266,rundi
1267,rundi apni chut leka ana
1268,rundi ka bacha
1269,rundi khana
1270,rundi ki bachi
1271,rundi ko chowd
1272,saala
1273,saala kutta
1274,saali kutti
1275,sadi hui gaand
1276,sali kuta
1277,sali kutti
1278,seal bund
